account,amount
0x12f1c601f289CECeC11C4c210F14506F876aC791,4000
0xeF0fF0AC7CD171427e835c1464C81544B37232E6,3900
0x9EF40f93886f31beC12EcA10F960832565b9Cf43,3800
0xeD48bc7aea99e1D6E915DC0E89504926A3ec04c7,3700
0x2d058BD1039562a6B91AEC84646d154C6013b7A7,3600
0x8051821F4c4E5645EEED5657B72c9402ee611504,3600
0x016df27C5a9e479AB01e3053CD5a1967f96eCD6E,3533.4
0x1e759Ba510e6bE552e6CF5eFFa893F114F94a908,3400
0x89c60C01F2E1d1b233253596bf1c2386bDfeB898,3400
0x798CDE64455Df6cBBaBF2FBa57cb7d3C7464BF7A,3380.4
0x0ed9Ac6Bdbbc89467DfF741f19E0dBEeF46380Ec,3300
0xE6E7A76D0E2Eb711667437f888FF32bEb565F3Aa,3300
0x787db9b5e3ef08d24c1ccc0943935E93fe9Efe0A,3300
0xe8C16C288039F04de10997CD398cB10662182009,3300
0xFcD05faD2257b08491a023793C4e5922F4Df6159,3200
0xC855565bC38F786ae67C687858b7323957Eb80DC,3200
0x5513f5B0C9FD31aA25135d3F25FCd31ea891A809,3150
0x1adDA3e59A4f54070881801e2399FD34a764Fa8B,3100
0xC0b7f101df925cd8fEb5184Ab7A9f8b89811B08c,3100
0x1B76b011C0a1E03896bFc8923bE228E430bb9049,3000
0x1DD17a7386a883674eC2CeFa7cbE6da75E719046,3000
0x589a852216489016ab8e0aBCdEe1A7Cc245d0F14,3000
0x283b62D3E64a65E9c68e0C1cebe7a45D64c0C2A9,3000
0x5d3a6D7a1419f7F9b61B52D3DaA6124742ed035e,3000
0x7C6616668F705C38bfdEEab2A3Da2f890A1f43f2,3000
0x9dA57082e3A5f5514DD15538CBA75F5AC53046ab,3000
0xB2206f941A5206B55BFA33E665687523A8bcEd80,2876.4
0xD2f43eF1717fE4F89F4547537e9a3fa9A0C371d3,2825
0x0f2f4dC9d712BeD084E11792A92a0D2eC2B683c5,2800
0xE32046298B8b0aA40e448F353110f07C32f258ff,2766
